39,42,105,193,207,277,292,244,276,425,382,451,303,211,195,152,158,233,276,244,244,276,233,158,152,195,211,303,451,382,425,276,244,292,277,207,193,105,42,39
29,36,75,165,277,283,285,239,239,210,145,186,150,149,72,50,48,50,41,33,33,41,50,48,50,72,149,150,186,145,210,239,239,285,283,277,165,75,36,29
44,87,84,165,267,263,270,251,251,187,111,93,103,61,48,38,47,39,22,13,13,22,39,47,38,48,61,103,93,111,187,251,251,270,263,267,165,84,87,44
196,179,153,236,199,228,269,290,322,213,121,89,90,46,33,0,49,45,20,10,10,20,45,49,0,33,46,90,89,121,213,322,290,269,228,199,236,153,179,196
331,301,330,317,210,273,466,568,571,261,135,88,39,30,25,0,52,54,25,13,13,25,54,52,0,25,30,39,88,135,261,571,568,466,273,210,317,330,301,331
425,383,220,193,234,501,608,624,624,428,263,177,86,37,27,32,67,65,46,31,31,46,65,67,32,27,37,86,177,263,428,624,624,608,501,234,193,220,383,425
134,153,169,199,283,649,696,677,614,457,314,221,114,98,44,55,89,118,234,220,220,234,118,89,55,44,98,114,221,314,457,614,677,696,649,283,199,169,153,134
43,60,172,251,360,729,716,649,371,273,282,232,138,140,65,84,117,146,326,343,343,326,146,117,84,65,140,138,232,282,273,371,649,716,729,360,251,172,60,43
146,175,244,337,498,852,806,631,342,214,145,138,137,152,70,89,105,89,108,108,108,108,89,105,89,70,152,137,138,145,214,342,631,806,852,498,337,244,175,146
172,196,231,332,457,586,801,742,593,422,248,211,152,119,49,59,67,78,153,183,183,153,78,67,59,49,119,152,211,248,422,593,742,801,586,457,332,231,196,172
49,57,71,107,164,508,983,1251,1213,1219,719,477,355,128,46,53,66,120,131,133,133,131,120,66,53,46,128,355,477,719,1219,1213,1251,983,508,164,107,71,57,49
34,42,58,89,164,607,1271,1857,2547,2471,1547,938,660,290,156,158,152,135,169,180,180,169,135,152,158,156,290,660,938,1547,2471,2547,1857,1271,607,164,89,58,42,34
39,50,75,141,569,1753,3096,3752,5023,4630,2741,1824,1361,724,404,224,182,140,180,266,266,180,140,182,224,404,724,1361,1824,2741,4630,5023,3752,3096,1753,569,141,75,50,39
42,50,89,165,966,4672,9111,8169,9031,7628,3896,2898,2635,1710,930,479,377,258,211,328,328,211,258,377,479,930,1710,2635,2898,3896,7628,9031,8169,9111,4672,966,165,89,50,42
0,0,67,158,1124,7307,11435,10497,10761,9788,4376,2767,3313,2258,1107,581,397,191,133,221,221,133,191,397,581,1107,2258,3313,2767,4376,9788,10761,10497,11435,7307,1124,158,67,0,0
46,50,79,141,857,4672,7830,5981,5435,4578,2258,1853,2635,2131,1170,734,289,183,109,109,109,109,183,289,734,1170,2131,2635,1853,2258,4578,5435,5981,7830,4672,857,141,79,50,46
53,58,71,114,543,1976,3096,3052,2638,1856,978,1144,2119,1857,998,602,259,168,46,38,38,46,168,259,602,998,1857,2119,1144,978,1856,2638,3052,3096,1976,543,114,71,58,53
44,50,64,89,202,737,1424,1858,1504,1126,899,942,1501,1265,660,460,334,169,49,47,47,49,169,334,460,660,1265,1501,942,899,1126,1504,1858,1424,737,202,89,64,50,44
43,49,62,92,138,211,577,1243,1661,1610,1195,1078,1307,823,476,303,288,195,172,196,196,172,195,288,303,476,823,1307,1078,1195,1610,1661,1243,577,211,138,92,62,49,43
71,81,98,109,138,138,193,604,1192,1404,1350,1028,1083,649,421,345,345,401,527,465,465,527,401,345,345,421,649,1083,1028,1350,1404,1192,604,193,138,138,109,98,81,71
440,476,423,173,151,138,151,211,457,489,668,586,496,419,361,490,469,640,1330,1989,1989,1330,640,469,490,361,419,496,586,668,489,457,211,151,138,151,173,423,476,440
1080,1004,701,199,151,144,158,151,146,126,121,123,278,358,430,631,617,1026,1688,2309,2309,1688,1026,617,631,430,358,278,123,121,126,146,151,158,144,151,199,701,1004,1080
1383,1051,702,221,158,151,166,174,151,132,101,81,105,270,586,684,672,1143,1813,2309,2309,1813,1143,672,684,586,270,105,81,101,132,151,174,166,151,158,221,702,1051,1383
667,461,378,234,184,144,151,194,194,174,144,101,83,213,525,881,1110,1552,2210,2658,2658,2210,1552,1110,881,525,213,83,101,144,174,194,194,151,144,184,234,378,461,667
555,514,889,378,174,122,127,166,194,194,174,117,85,179,437,979,1750,2493,2658,2656,2656,2658,2493,1750,979,437,179,85,117,174,194,194,166,127,122,174,378,889,514,555
461,487,1143,803,199,117,117,138,144,151,138,109,73,74,273,944,1504,2053,2078,1614,1614,2078,2053,1504,944,273,74,73,109,138,151,144,138,117,117,199,803,1143,487,461
790,903,1080,803,209,132,127,122,113,113,101,95,81,79,285,887,1788,1989,1540,1395,1395,1540,1989,1788,887,285,79,81,95,101,113,113,122,127,132,209,803,1080,903,790
604,699,790,351,219,174,158,132,109,89,73,71,67,79,257,917,2278,1987,1636,991,991,1636,1987,2278,917,257,79,67,71,73,89,109,132,158,174,219,351,790,699,604
453,489,506,247,206,166,138,113,89,64,55,52,56,107,178,658,2078,2240,1968,1124,1124,1968,2240,2078,658,178,107,56,52,55,64,89,113,138,166,206,247,506,489,453
309,270,134,113,146,110,87,83,77,65,123,130,121,111,153,564,1760,2506,1769,1495,1495,1769,2506,1760,564,153,111,121,130,123,65,77,83,87,110,146,113,134,270,309
219,197,149,95,222,213,172,191,208,202,268,245,220,147,207,614,1100,1358,1326,1729,1729,1326,1358,1100,614,207,147,220,245,268,202,208,191,172,213,222,95,149,197,219
322,242,153,165,267,393,358,401,547,718,561,288,205,218,348,631,586,724,1160,1326,1326,1160,724,586,631,348,218,205,288,561,718,547,401,358,393,267,165,153,242,322
299,177,140,214,468,688,597,487,908,1408,1012,382,136,125,245,538,564,759,1268,1424,1424,1268,759,564,538,245,125,136,382,1012,1408,908,487,597,688,468,214,140,177,299
203,174,93,263,641,930,726,458,742,1282,917,268,66,54,205,642,1129,1753,1769,1573,1573,1769,1753,1129,642,205,54,66,268,917,1282,742,458,726,930,641,263,93,174,203
73,85,85,292,716,1083,809,405,431,764,529,144,46,49,242,849,1882,3338,2805,1595,1595,2805,3338,1882,849,242,49,46,144,529,764,431,405,809,1083,716,292,85,85,73
67,71,75,228,564,930,792,422,422,726,561,180,86,131,497,1223,2309,3749,2961,1694,1694,2961,3749,2309,1223,497,131,86,180,561,726,422,422,792,930,564,228,75,71,67
81,75,66,187,449,750,750,479,535,908,809,363,243,382,899,1433,2104,3815,3513,3139,3139,3513,3815,2104,1433,899,382,243,363,809,908,535,479,750,750,449,187,66,75,81
84,69,66,165,365,469,468,318,568,1083,1263,1004,798,871,1209,1409,1982,3561,3513,3749,3749,3513,3561,1982,1409,1209,871,798,1004,1263,1083,568,318,468,469,365,165,66,69,84
73,70,130,156,224,283,297,270,361,974,1568,1505,1121,887,835,952,1298,2392,2796,2801,2801,2796,2392,1298,952,835,887,1121,1505,1568,974,361,270,297,283,224,156,130,70,73
57,58,128,159,213,292,300,270,297,602,871,968,613,431,455,308,361,917,1506,1173,1173,1506,917,361,308,455,431,613,968,871,602,297,270,300,292,213,159,128,58,57